months_since_last_pymnt_d_last_credit_pull_d,months_since_issue_d_last_credit_pull_d,out_prncp_inv,grade,last_pymnt_amnt,dti,total_rev_hi_lim,total_rec_int,months_since_earliest_cr_line,revol_util,tot_cur_bal,verification_status,inq_last_6mths,credit_event
0,2,15584.92,B,339.88,32.67,49900,255.8,312,56.7,70911,Not Verified,0,0
1,6,13199.14,B,491.01,35.87,75000,635.87,161,68.1,55134,Not Verified,0,0
1,11,0.0,E,7895.56,14.59,12800,1268.37,155,16.2,27297,Not Verified,0,0
0,2,14677.06,D,372.71,30.97,19100,394.16,157,29.1,57567,Source Verified,1,0
0,12,6897.37,B,322.89,1.1,10500,959.59,248,41.2,132355,Source Verified,0,0
0,5,5261.65,B,191.28,7.2,21900,211.94,97,40.4,19403,Source Verified,0,0
0,3,7466.16,D,279.72,20.29,14400,298.38,173,34.5,78520,Verified,0,0
1,3,13326.95,B,451.68,7.91,9300,222.54,100,83.6,22162,Source Verified,0,0
0,6,8517.69,B,318.79,18.43,35800,425.34,194,27.6,108087,Verified,0,0
0,9,7843.06,C,335.45,22.18,22500,848.01,88,28.7,150621,Not Verified,0,0
0,7,9094.86,B,217.38,24.0,35600,604.31,143,66.9,299375,Source Verified,0,0
0,8,3237.17,C,134.18,15.73,24400,307.79,142,34.9,8508,Not Verified,0,0
0,1,29989.58,B,1003.11,11.18,39200,254.48,100,35.6,189859,Source Verified,1,0
0,3,29032.16,E,781.36,12.36,30300,1536.65,174,71.2,285396,Source Verified,1,0
0,9,7876.57,C,341.73,11.75,12200,936.6,186,45.4,10676,Source Verified,1,0
1,4,6579.79,B,229.53,26.84,16400,153.71,318,97.2,20270,Not Verified,0,0
0,4,17884.79,F,523.54,31.34,21200,1543.27,169,63.4,310340,Verified,1,0
1,8,22158.28,E,625.09,29.12,47800,2577.78,120,69.8,389466,Verified,2,0
0,2,33395.41,C,1182.33,28.0,44500,708.81,163,80.8,65537,Verified,0,0
0,12,16511.82,A,735.47,10.73,56400,1320.15,240,18.5,33748,Verified,0,0
0,5,15346.53,B,557.89,17.06,41000,627.06,381,88.4,84667,Source Verified,0,0
0,1,6822.68,A,222.21,9.05,15700,42.46,172,59.6,31550,Source Verified,0,0
1,12,23725.35,C,619.4,31.0,58100,2919.75,197,31.4,280385,Source Verified,3,0
0,12,8931.4,D,251.26,21.96,23700,1512.49,101,11.2,143205,Not Verified,0,0
0,7,18487.34,E,510.6,17.62,26800,2041.26,159,50.7,83694,Source Verified,0,0
0,1,23423.48,B,771.72,28.63,212100,169.17,274,73.3,201280,Not Verified,0,0
0,2,6663.48,B,225.84,29.58,34500,111.28,165,28.7,118337,Verified,1,0
1,5,5041.0,A,175.2,4.16,5500,139.35,80,24.3,12128,Source Verified,0,0
0,5,905.17,B,163.67,4.41,11500,60.6,130,33.5,78936,Source Verified,1,0
0,6,17067.05,B,645.25,22.93,17100,916.35,182,44.4,109558,Source Verified,0,0
0,5,20119.47,E,542.51,13.58,9100,1560.47,130,93.0,68210,Verified,0,0
0,9,6486.42,C,270.83,16.77,29900,647.14,223,91.1,90967,Not Verified,0,0
0,1,34562.41,B,764.84,10.1,38300,283.62,165,78.1,393662,Verified,1,0
0,9,6217.98,B,258.1,6.16,9200,536.44,145,52.7,16863,Source Verified,1,0
0,12,1046.36,B,48.05,8.22,5800,121.38,102,28.6,2215,Not Verified,0,0
0,11,13709.71,B,352.13,15.59,41900,1572.89,240,34.4,154983,Source Verified,1,0
10,10,0.0,D,15027.65,19.18,66000,14.64,50,19.7,49362,Verified,3,0
0,7,19946.16,D,523.22,29.03,51000,1889.88,253,66.7,190787,Source Verified,0,0
0,8,24556.89,D,558.29,34.02,51700,2895.08,165,59.2,304847,Source Verified,0,0
0,7,28986.77,B,1129.19,4.67,73000,1852.25,197,2.8,28297,Source Verified,2,0
1,4,13885.29,B,471.3,11.68,11900,292.37,154,77.3,379452,Source Verified,1,0
0,12,25183.77,D,1238.98,14.28,2900,5019.47,207,46.5,28603,Verified,2,0
0,6,20260.61,A,722.76,6.47,30000,582.98,412,64.3,123318,Source Verified,0,0
0,11,5759.58,B,251.36,35.78,48300,520.9,175,22.2,124304,Source Verified,0,0
0,3,13318.75,B,446.31,9.32,17200,197.11,162,74.6,12833,Source Verified,0,0
0,9,22522.83,B,543.8,10.15,18400,1802.82,175,88.0,297623,Source Verified,0,0
0,4,2886.16,B,102.02,18.29,11800,79.84,84,36.4,45458,Verified,0,0
0,11,2157.17,A,93.86,25.78,11300,188.31,202,67.2,45847,Not Verified,0,0
0,1,8295.81,B,273.32,28.31,34000,64.52,233,35.0,141487,Not Verified,0,0
0,2,9240.54,B,317.52,26.72,16400,175.58,82,76.4,13749,Verified,0,0
3,9,18509.91,E,499.11,31.86,30000,1415.82,186,87.4,45890,Source Verified,0,1
0,1,9749.15,A,308.27,19.55,37700,53.59,261,23.5,8875,Source Verified,0,0
0,6,7680.13,B,290.37,20.59,32200,412.36,201,44.4,41818,Verified,0,0
0,2,33296.89,B,1115.77,15.08,38200,510.6,513,52.5,301880,Verified,0,0
0,2,28498.69,A,929.89,24.73,49100,437.12,150,63.1,243058,Verified,1,0
0,5,23909.11,D,632.94,22.7,51100,1440.0,219,29.8,306220,Not Verified,0,0
0,10,18582.71,E,870.68,32.63,39700,3265.18,192,79.4,134225,Verified,2,0
1,2,13806.97,E,359.26,8.77,16400,201.34,351,48.2,285193,Verified,0,0
1,12,8542.34,A,373.22,16.02,27400,714.56,172,20.7,310998,Not Verified,1,0
0,1,19736.01,B,416.82,24.34,67300,142.64,184,55.7,541413,Verified,0,0
0,2,17557.14,B,565.56,23.19,40500,106.34,265,98.9,1083644,Source Verified,0,0
0,1,19571.72,F,563.7,15.26,19500,357.63,264,34.0,132756,Verified,4,0
0,9,15787.91,D,441.56,33.05,40125,2177.69,178,74.0,94196,Verified,1,0
4,9,6200.71,C,241.46,4.67,9400,396.62,80,59.7,5612,Verified,0,1
0,1,7815.95,C,267.98,38.78,20000,78.33,237,89.9,116040,Not Verified,0,0
0,10,7454.49,A,312.86,12.53,15400,574.32,172,74.8,190584,Not Verified,0,0
7,11,0.0,D,747.21,23.8,59200,1573.95,185,62.2,93015,Verified,2,1
0,12,10018.79,B,471.58,13.61,15100,1468.29,201,35.5,44917,Source Verified,3,0
0,9,16460.09,F,517.72,17.74,25600,3095.58,153,73.7,117187,Verified,2,0
0,12,21323.41,C,1020.39,16.14,49600,3522.56,344,60.5,202503,Verified,0,0
0,4,14481.16,D,565.91,17.18,27900,734.94,119,86.0,153387,Source Verified,1,0
0,1,11433.23,E,299.55,33.25,18400,170.59,151,72.0,64683,Verified,0,0
0,8,32823.53,F,1095.54,16.66,25800,5001.8,258,63.8,291166,Source Verified,0,0
0,3,13913.81,B,483.94,19.58,64500,348.98,178,22.8,236349,Not Verified,0,0
0,8,3798.46,D,166.89,9.99,2100,503.99,74,34.0,8264,Verified,0,0
2,11,22328.31,C,594.62,14.88,72800,2638.25,141,51.9,366447,Source Verified,1,1
1,3,15659.29,F,449.55,20.85,20300,588.02,142,94.2,262223,Source Verified,0,0
0,12,25685.63,F,824.41,34.82,25900,6297.81,107,44.6,308182,Verified,0,0
1,3,14036.06,B,313.02,24.99,15800,253.31,141,74.8,82493,Not Verified,0,0
0,6,5922.15,A,213.72,21.2,42200,199.62,328,22.4,19683,Source Verified,0,0
0,9,21181.21,B,521.7,12.63,34000,1781.26,280,69.0,46136,Source Verified,0,0
0,11,17279.61,A,754.18,15.25,44200,1553.75,231,60.5,31673,Source Verified,1,0
0,8,19087.46,A,740.18,6.26,46000,990.45,243,47.7,523027,Source Verified,0,0
0,2,11382.27,A,361.38,12.23,54100,101.48,191,15.3,308975,Not Verified,1,0
0,8,27919.67,A,1095.0,6.99,58500,1648.99,119,40.6,340152,Not Verified,0,0
0,6,11031.26,B,250.1,8.51,37700,519.63,174,40.3,27155,Source Verified,0,0
1,3,11361.43,B,400.0,13.92,15300,150.52,261,28.6,166877,Not Verified,0,0
1,4,13043.32,C,478.42,13.5,270600,467.7,359,100.2,438505,Source Verified,1,0
0,5,8965.88,A,301.15,10.35,50800,167.52,275,30.8,16309,Not Verified,1,0
0,4,5898.69,C,220.05,23.41,7300,274.08,106,47.0,47995,Verified,2,0
0,6,4470.05,D,185.83,31.68,1300,424.81,156,80.0,30936,Verified,3,0
0,6,28295.36,F,845.55,18.74,26100,3330.34,107,46.7,104913,Source Verified,0,0
1,9,12813.32,B,510.07,16.02,20500,885.73,165,77.8,162672,Source Verified,0,0
0,2,25092.7,C,572.89,20.36,139400,479.04,514,33.2,85599,Verified,0,0
1,9,9572.45,A,375.43,10.19,25600,565.37,128,92.1,65878,Not Verified,0,0
0,7,12813.05,A,480.9,12.13,32400,573.38,174,36.6,198893,Verified,0,0
1,10,17213.53,D,767.93,2.83,9800,2429.97,109,56.4,82202,Verified,0,0
1,2,10449.66,B,383.53,33.53,12540,119.53,268,48.0,14237,Verified,1,0
1,3,9513.4,B,318.79,13.18,15500,140.79,160,28.2,31078,Source Verified,0,0
0,5,15231.21,C,366.76,14.11,29700,733.79,414,28.9,230368,Not Verified,1,0
1,11,9783.68,E,280.83,30.15,13900,1580.83,90,78.7,26744,Source Verified,0,0
1,4,19295.54,C,465.27,19.46,31600,675.81,329,56.4,205148,Not Verified,1,0
0,5,0.0,A,6815.83,23.56,19200,251.14,132,41.2,41742,Verified,0,0
0,3,6539.31,D,248.01,5.38,6900,296.2,76,60.9,78128,Source Verified,0,0
0,6,6909.59,D,285.19,17.28,5500,627.29,120,52.6,118094,Not Verified,1,0
1,5,8557.24,A,312.86,19.8,17500,280.18,131,44.3,43638,Source Verified,2,0
0,1,24357.96,A,752.87,19.45,66100,96.05,323,29.6,180181,Not Verified,2,0
0,3,32345.81,E,874.12,24.76,46300,1057.4,158,47.1,213260,Source Verified,0,0
0,9,3858.31,A,156.43,18.31,10000,261.8,307,34.5,70125,Source Verified,0,0
0,3,4621.54,A,154.14,13.44,14000,82.05,137,37.9,8457,Source Verified,0,0
0,8,2867.6,D,124.77,19.32,20200,362.46,343,20.9,10958,Source Verified,2,0
0,12,30390.96,E,912.55,17.02,92850,6266.74,306,76.0,397515,Verified,1,0
1,9,8891.73,C,366.89,14.72,25200,819.34,162,39.1,17154,Not Verified,0,0
4,5,0.0,E,18468.33,25.37,41300,449.14,41,27.4,42137,Source Verified,0,0
0,2,9506.26,B,314.2,24.28,7500,146.01,177,43.0,54539,Not Verified,0,0
0,3,5582.15,C,201.27,2.36,5000,181.73,66,63.0,3150,Source Verified,0,0
0,7,5857.44,C,239.21,6.13,10400,526.47,181,38.6,4018,Verified,0,0
0,6,19511.56,B,427.62,12.13,25800,686.69,169,62.4,127092,Not Verified,0,0
1,2,2436.67,A,76.33,22.45,21200,11.7,494,43.0,66406,Not Verified,0,0
0,1,4879.89,B,160.78,31.59,28800,37.96,144,50.8,23193,Verified,0,0
0,12,15827.55,D,757.32,29.73,18000,2917.7,293,92.3,109732,Verified,3,0
1,6,15319.86,A,530.03,17.34,34600,364.81,120,26.7,49384,Not Verified,0,0
0,5,6211.24,D,244.76,34.74,74400,428.97,176,42.6,68538,Source Verified,2,0
0,10,6034.21,B,261.88,26.85,11900,643.24,86,60.3,28127,Source Verified,0,0
0,6,8656.1,D,354.3,11.47,17850,763.51,224,21.0,178788,Verified,3,0
0,2,9793.37,E,256.61,25.23,13900,291.18,139,33.1,57239,Verified,0,0
0,10,4607.73,E,218.75,21.09,8000,863.8,235,45.5,410820,Verified,4,0
0,7,8381.62,C,344.95,6.26,7850,788.13,221,59.0,20818,Not Verified,3,0
0,9,4786.18,A,187.72,12.1,19900,285.31,147,16.9,48667,Not Verified,0,0
0,9,31485.8,D,880.61,9.05,37100,4342.96,143,54.6,941631,Source Verified,1,0
0,5,15741.16,B,573.83,12.31,32700,617.48,178,53.1,17372,Source Verified,0,0
0,8,12993.13,B,315.2,12.14,54600,1032.43,354,27.0,186507,Not Verified,0,0
0,8,0.0,B,10258.42,6.11,24300,751.8,126,27.1,175694,Not Verified,0,0
0,12,17946.0,A,777.55,4.25,45900,1478.24,198,57.9,27484,Verified,1,0
0,5,3941.88,C,153.5,10.25,6700,255.76,245,46.0,8363,Not Verified,0,0
0,3,18781.39,B,662.05,20.22,71900,579.58,257,38.6,204565,Not Verified,0,0
0,9,11749.0,C,500.3,8.08,46200,1231.22,269,38.7,17868,Not Verified,1,0
0,1,7567.92,B,254.54,10.59,15500,67.63,127,77.7,154715,Source Verified,2,0
1,11,13484.08,B,573.83,32.77,24700,1213.21,158,71.5,299975,Source Verified,0,0
0,3,11521.16,B,250.1,20.1,136000,274.51,174,45.5,709378,Not Verified,0,0
0,7,16471.47,A,625.72,19.98,48000,842.74,310,36.3,85594,Not Verified,0,0
0,11,17895.14,B,800.0,13.03,62200,1625.74,311,63.6,695316,Source Verified,0,0
0,3,24227.35,A,812.1,23.43,35300,437.22,187,76.5,172593,Not Verified,0,0
0,4,22866.29,C,558.32,21.72,53300,1062.26,237,47.2,145970,Not Verified,2,0
0,2,4752.08,A,156.43,0.6,16200,62.75,103,1.9,162616,Verified,0,0
0,6,14372.2,B,339.11,18.48,40300,810.88,271,61.4,60959,Source Verified,0,0
0,11,20872.65,A,876.0,7.69,155700,1608.1,187,58.3,411984,Source Verified,2,0
0,11,2949.45,C,136.7,24.44,8400,450.04,165,50.0,85722,Not Verified,0,0
0,8,13488.69,C,335.87,10.11,21600,1165.41,154,78.8,87837,Source Verified,1,0
1,9,19882.78,A,771.02,13.24,30900,1031.72,87,86.4,231325,Source Verified,0,0
0,9,6152.42,A,246.73,6.59,15500,348.38,258,34.6,5367,Source Verified,2,0
0,9,14088.33,C,606.82,16.25,8800,1598.16,163,50.8,160281,Not Verified,0,0
0,5,1753.88,B,63.76,22.25,21400,71.66,116,71.7,37253,Verified,0,0
0,2,14694.3,E,389.03,13.2,15100,472.36,87,69.1,15878,Source Verified,1,0
0,2,2965.82,D,110.51,15.32,600,83.91,163,74.5,11050,Source Verified,0,0
0,6,8533.5,B,322.63,16.97,21000,466.1,216,38.0,76056,Not Verified,0,0
0,3,5599.62,D,209.79,17.84,4600,228.98,151,35.3,140088,Verified,0,0
0,6,4921.69,C,193.81,6.76,6700,355.31,259,38.0,2567,Not Verified,3,0
1,4,6932.31,A,231.21,23.13,34800,120.2,-629,26.9,183711,Not Verified,1,0
0,10,8430.4,A,341.8,32.19,24000,572.02,172,31.3,23008,Verified,1,0
0,1,2439.0,B,2906.71,11.77,47700,26.35,109,1.4,14997,Verified,0,0
0,12,8654.49,A,387.46,21.09,54600,749.14,173,35.4,150357,Source Verified,1,0
0,2,31284.99,E,865.53,20.26,69900,1039.49,249,100.2,107904,Verified,0,0
0,2,29010.38,C,1020.71,22.33,44100,331.31,158,77.0,294700,Not Verified,0,0
0,4,12851.3,C,309.46,25.34,39600,564.15,160,57.0,22574,Not Verified,1,0
0,9,2720.35,B,112.92,32.16,9700,232.75,171,34.8,10894,Verified,0,0
0,9,5712.93,D,244.76,37.97,34200,704.39,194,60.1,102989,Verified,3,0
0,10,1578.68,C,68.99,29.8,4300,196.33,234,97.7,147895,Verified,1,0
0,3,20305.8,C,476.79,32.18,37800,428.57,168,51.8,251639,Verified,1,0
0,2,6861.68,B,237.53,37.96,19800,97.54,261,39.1,69764,Source Verified,1,0
0,3,2780.19,B,95.64,16.31,16800,73.98,360,76.6,235478,Source Verified,1,0
0,2,23379.24,D,590.68,29.15,5300,625.32,219,75.2,27375,Verified,2,0
0,12,12538.75,B,314.96,32.2,84100,1310.36,225,44.9,165845,Not Verified,1,0
0,4,33723.66,F,1043.37,19.61,20000,2919.43,240,67.0,287411,Verified,1,0
0,12,13455.58,B,623.96,14.98,21000,1715.13,218,78.8,31124,Source Verified,0,0
1,9,2425.02,C,100.06,14.5,15600,221.4,248,88.5,130506,Verified,2,0
0,2,18986.85,D,700.0,14.87,5300,470.8,195,90.8,81295,Verified,0,0
0,9,8871.29,C,225.95,30.28,30800,890.74,161,2.2,37517,Source Verified,1,0
0,10,19308.93,A,801.86,18.65,82000,1307.54,379,47.0,238600,Not Verified,0,0
0,2,9547.08,C,341.73,12.93,8000,222.77,176,38.5,244462,Source Verified,0,0
0,11,3400.03,C,200.0,26.33,21700,536.38,165,41.8,21336,Not Verified,2,0
1,3,25188.95,D,633.74,20.6,43200,682.75,163,80.0,301163,Source Verified,0,0
3,5,0.0,A,19750.68,3.85,27300,358.87,246,20.7,5645,Verified,0,0
0,5,6409.32,A,224.41,13.71,26800,178.82,176,28.2,29080,Not Verified,1,0
0,5,30618.39,A,1095.0,11.83,80300,1116.4,161,32.0,75966,Source Verified,0,0
0,5,29344.32,B,1055.7,29.54,91700,1073.19,221,55.6,293756,Source Verified,0,0
0,1,3911.9,D,139.47,13.56,2000,47.95,230,7.0,32142,Source Verified,1,0
0,3,28857.47,B,652.13,18.39,47200,896.28,120,40.9,68727,Source Verified,1,0
0,6,12052.79,C,478.42,19.67,23300,912.43,198,48.4,124058,Not Verified,1,0
0,8,32495.76,G,1044.4,23.1,41100,5800.74,241,74.9,243181,Verified,1,0
-1,4,0.0,C,6.58,11.76,25000,506.26,282,60.1,25489,Source Verified,2,0
0,10,6267.78,A,254.44,16.27,29900,378.31,80,27.6,22808,Source Verified,0,0
1,6,15017.85,C,361.52,17.8,13400,802.89,253,69.3,86221,Not Verified,2,0
0,8,12422.9,B,483.94,23.75,32300,813.74,178,58.9,190675,Not Verified,1,0
0,10,5787.19,A,239.71,29.38,33500,378.5,185,32.1,150788,Not Verified,0,0
0,7,4941.41,A,187.72,29.77,15300,252.82,172,44.5,178489,Not Verified,0,0
0,1,4886.01,C,168.91,28.17,20600,47.6,298,76.5,140757,Verified,2,0
0,10,8888.2,C,229.23,12.0,13500,954.15,156,38.7,7700,Source Verified,1,0
1,3,9526.33,B,327.34,12.43,9650,174.9,167,39.0,27032,Not Verified,3,0
0,8,28432.62,C,1196.05,25.25,39300,2946.61,267,69.2,194874,Verified,2,0
1,3,0.0,B,9900.2,15.3,29800,215.33,170,35.6,189675,Source Verified,0,0
1,2,9752.89,A,312.86,33.44,7400,61.37,264,93.3,104415,Not Verified,0,0
0,12,14939.94,F,485.29,4.64,8100,3532.67,133,96.2,218314,Verified,0,0
0,8,22211.4,F,658.58,12.47,32488,2942.32,170,42.0,117640,Source Verified,1,0
2,6,0.0,C,2640.05,26.69,8300,124.94,127,77.0,82354,Not Verified,0,0
0,12,21116.82,B,555.99,17.83,48800,2772.05,261,88.1,379446,Source Verified,1,0
0,3,32388.28,A,1095.0,15.62,78200,642.6,276,55.5,219860,Source Verified,0,0
0,12,2469.35,B,116.24,16.34,28000,361.9,269,43.2,30675,Source Verified,1,0
0,1,27308.1,A,876.0,20.08,37800,171.83,226,100.3,345603,Verified,0,0
0,2,8887.7,D,324.26,26.45,58900,228.26,139,57.4,310582,Not Verified,2,0
0,3,9653.85,C,236.07,19.96,18200,353.92,274,68.8,26694,Source Verified,0,0
0,9,7277.4,B,420.0,20.69,13100,662.37,171,60.5,74553,Source Verified,0,0
1,11,13764.86,B,325.81,17.81,31300,1008.42,162,67.5,146404,Not Verified,0,0
0,9,21400.26,A,855.86,30.09,27900,1232.33,171,78.6,168642,Verified,0,0
1,9,23952.47,B,942.59,30.93,70600,1479.56,310,30.1,204184,Verified,0,0
0,2,5703.75,B,188.52,21.75,16300,75.34,124,35.6,36028,Source Verified,1,0
0,3,14462.44,C,343.84,20.97,34600,388.42,125,59.6,155602,Not Verified,1,0
0,2,9529.82,B,329.72,30.1,32200,176.49,154,32.3,19832,Source Verified,1,0
0,6,25600.54,B,967.88,11.32,54600,1374.52,165,80.3,215571,Source Verified,0,0
0,8,6452.19,B,263.93,21.61,36700,575.17,89,21.8,40039,Not Verified,1,0
0,6,7211.27,C,281.78,14.77,10800,478.53,375,43.0,13076,Verified,2,0
0,2,23690.86,D,590.68,18.82,9000,308.93,313,63.2,186731,Source Verified,0,0
1,8,9449.9,E,700.0,32.03,36500,1212.64,137,60.9,22245,Source Verified,0,0
1,5,18784.84,G,596.76,28.36,3600,1878.21,143,5.2,123254,Verified,2,0
0,7,4200.83,D,174.83,22.05,24200,415.97,308,77.2,228959,Not Verified,0,0
1,4,6047.31,C,218.05,24.86,24700,196.88,103,31.4,18923,Source Verified,0,0
0,9,7654.81,E,352.59,26.5,36700,1267.76,96,5.9,15683,Verified,2,0
1,3,11407.51,B,377.04,22.69,34700,150.68,271,70.7,121873,Source Verified,0,0
0,5,10785.47,A,369.93,18.21,34700,295.05,203,60.0,94557,Source Verified,0,0
0,6,9259.46,C,225.95,22.89,22800,608.11,296,87.6,42419,Not Verified,0,0
0,1,33665.77,E,900.61,18.39,49400,528.62,171,39.0,65349,Not Verified,2,0
0,1,15807.17,C,360.7,22.65,10800,145.49,159,0.0,127394,Source Verified,0,0
0,9,4687.67,B,197.95,18.99,5400,465.38,103,13.9,64702,Source Verified,1,0
0,4,17014.66,B,366.53,9.73,127000,472.6,375,28.6,275899,Not Verified,0,0
0,6,22933.14,B,509.07,7.96,41600,976.2,130,45.1,146640,Verified,0,0
0,7,5144.77,A,191.59,22.04,44200,208.72,203,23.5,40754,Not Verified,0,0
0,11,7305.18,C,333.53,26.24,37800,985.49,235,54.0,115739,Source Verified,1,0
0,12,21590.34,C,577.31,21.19,34000,2949.22,128,69.4,253182,Source Verified,0,0
0,12,5630.56,B,263.58,8.37,101200,783.35,223,11.5,11594,Verified,2,0
0,1,6349.22,C,216.05,29.76,9900,56.57,74,67.1,34992,Source Verified,0,0
0,6,10150.49,B,239.12,31.52,10600,578.49,152,47.0,33376,Source Verified,0,0
0,8,9033.08,B,369.5,39.58,21100,781.91,246,35.4,193520,Not Verified,0,0
1,12,8687.23,B,384.34,16.98,25300,908.64,232,37.4,150014,Not Verified,0,0
0,1,19553.1,C,688.23,15.22,26600,225.24,171,63.8,246141,Source Verified,1,0
0,5,18953.62,B,424.85,30.41,130100,630.82,250,5.8,50547,Not Verified,0,0
0,2,14259.38,B,471.3,30.96,41300,191.76,280,67.7,140874,Not Verified,1,0
0,12,8294.67,A,373.22,16.44,36000,760.83,142,53.5,202732,Not Verified,2,0
0,7,8505.3,A,313.2,12.75,52700,294.63,186,38.3,74770,Verified,1,0
0,5,10540.5,C,400.24,17.86,11500,577.61,256,18.0,111019,Not Verified,0,0
0,6,23338.84,D,621.18,19.8,22000,2042.32,230,48.8,295120,Source Verified,0,0
0,8,16364.6,D,443.01,32.05,3000,1892.13,189,99.9,120052,Source Verified,0,0
0,2,14249.34,A,464.95,12.02,23000,167.14,126,54.5,152135,Not Verified,0,0
0,11,4991.22,A,212.74,6.84,11100,329.05,182,49.9,23444,Source Verified,0,0
0,1,11343.03,A,232.58,19.68,28500,65.53,135,37.6,15074,Verified,0,0
0,12,11358.67,B,507.78,21.0,28400,1310.14,88,76.0,21580,Source Verified,0,0
1,5,10791.65,A,371.96,14.35,12800,274.65,328,30.0,225958,Verified,0,0
0,3,24119.45,C,581.58,16.28,102300,825.33,223,24.0,141646,Source Verified,0,0
0,8,8008.7,B,325.0,18.22,13200,603.15,129,79.0,125136,Not Verified,0,0
1,4,19238.32,B,434.75,34.54,40500,530.36,202,54.9,66432,Verified,0,0
0,11,10644.73,E,329.18,21.27,12300,2229.59,53,34.2,116150,Source Verified,1,0
0,7,6683.01,C,270.83,28.32,22700,572.9,109,79.3,511370,Source Verified,0,0
0,6,22237.02,B,505.57,34.57,43800,938.45,165,41.2,366976,Not Verified,1,0
0,1,29684.44,D,754.81,24.06,62700,380.68,222,44.8,166590,Source Verified,1,0
0,9,3439.52,D,154.18,3.78,22800,508.38,102,16.4,3738,Source Verified,2,0
0,1,24703.44,C,571.14,26.67,69200,237.97,143,32.9,125994,Not Verified,1,0
0,6,6794.2,A,250.29,10.47,14400,306.45,141,80.4,373409,Not Verified,1,0
0,9,14652.37,D,655.44,18.03,7700,2074.03,260,93.4,84595,Not Verified,1,0
0,6,5490.85,E,226.03,21.07,21500,457.89,248,85.2,143066,Verified,1,0
0,3,2101.35,C,75.89,27.05,7100,61.18,154,89.1,14640,Verified,0,0
1,5,23617.51,B,521.03,27.7,89000,736.22,358,18.3,75637,Not Verified,1,0
0,6,0.0,A,21137.58,4.87,56100,827.64,130,37.7,127803,Source Verified,0,0
0,1,0.0,D,14123.32,23.51,62100,172.71,197,37.3,77744,Verified,1,0
0,9,1979.4,D,87.42,19.46,11600,264.01,164,8.4,17165,Not Verified,1,0
0,6,8153.02,A,300.35,33.06,6300,346.7,191,83.4,29530,Source Verified,0,0
0,11,7124.46,D,335.67,16.72,16700,1208.5,291,95.3,352478,Verified,0,0
0,1,23418.3,B,765.1,25.29,82700,171.17,177,39.7,59068,Not Verified,0,0
0,3,6766.36,B,234.24,23.76,7200,125.74,103,88.4,35988,Verified,1,0
0,10,14839.17,A,614.62,8.68,65200,977.95,221,30.7,25997,Source Verified,0,0
0,7,0.0,A,30891.37,18.66,74200,1450.75,194,0.0,52935,Verified,1,0
0,7,11120.9,F,348.48,36.65,49300,1652.29,206,64.4,37492,Verified,0,0
0,7,5769.5,B,219.94,14.77,9100,305.9,81,72.6,32571,Verified,0,0
0,2,10259.53,A,334.76,17.29,12400,124.69,155,77.7,31658,Verified,0,0
0,2,14797.86,B,306.89,32.96,46300,97.77,441,2.7,214698,Not Verified,0,0
0,6,29681.4,A,1084.87,14.02,58700,1162.39,162,45.1,242961,Verified,0,0
0,3,7380.9,A,240.92,10.38,63100,101.3,227,13.3,237587,Not Verified,0,0
0,7,23851.24,C,613.78,24.88,24300,2126.54,135,25.1,49580,Verified,0,0
0,10,30718.47,C,814.21,12.49,27900,3833.37,226,38.9,407129,Verified,0,0
0,1,7803.77,B,252.1,18.32,42900,52.15,268,44.8,31893,Verified,1,0
0,3,11939.45,C,431.18,27.14,30800,317.07,246,66.9,170351,Verified,0,0
1,6,7457.02,C,313.15,32.34,42600,445.92,172,59.2,32897,Source Verified,0,0
0,4,3686.97,B,316.71,8.19,1600,238.44,91,72.0,14769,Verified,2,0
0,1,29303.46,C,1006.28,7.73,20000,289.76,173,38.6,154995,Source Verified,0,0
0,7,13125.98,E,362.53,14.4,14700,1449.29,389,31.1,215816,Not Verified,1,0
0,11,15485.53,B,366.53,14.11,35200,1134.47,113,52.3,329010,Verified,0,0
3,8,7259.93,C,270.83,18.45,28100,337.33,198,89.3,36804,Source Verified,0,1
0,8,0.0,C,9651.79,5.5,18600,910.52,141,46.6,154318,Not Verified,2,0
0,2,18114.1,C,631.53,28.66,9000,364.44,131,84.2,34271,Verified,0,0
1,2,7429.79,C,260.97,2.92,5500,75.63,233,59.3,554137,Source Verified,0,0
0,7,10880.14,E,454.39,25.55,4800,1099.85,92,88.6,32210,Verified,0,0
0,1,8791.03,C,298.89,4.59,13000,77.94,123,96.2,218261,Source Verified,1,0
0,4,9884.77,E,272.83,29.34,8800,647.49,138,61.4,83361,Source Verified,0,0
0,2,4468.88,C,162.78,21.12,7950,50.53,156,51.0,151068,Not Verified,0,0
0,1,3518.54,C,122.47,39.58,49100,35.54,234,88.7,43557,Verified,1,0
0,6,33206.0,G,1075.24,23.2,54300,4628.07,159,57.7,52580,Verified,3,0
0,5,15842.86,D,421.44,20.11,22900,1183.71,160,44.0,177277,Verified,1,0
1,8,10947.5,C,268.7,21.53,12600,807.92,262,34.9,350005,Source Verified,0,0
0,1,15816.03,C,375.04,2.11,3300,165.59,282,96.9,129055,Source Verified,0,0
0,8,12589.44,C,313.48,23.09,17400,1078.16,211,37.5,24447,Source Verified,0,0
0,3,7621.05,B,261.88,2.23,3600,135.04,216,98.4,4688,Source Verified,0,0
1,3,16295.43,E,440.37,13.04,9500,514.24,171,43.3,69882,Source Verified,0,0
